文書ID,ラベル,文書,コメント,,,,,,,,,,
1,FALSE,幸い、私の場合は軽症で済みましたが、その時から「自分もいつかコロナウイルスに感染する」という前提で行動するようになりました。 そのため、今まで以上に手洗い・うがいを徹底しています。 また、外出先でも消毒液や除菌シートなどを持ち歩くようになったのです。 このこと自体は良いことだと思いますよ。,,,,,,,,,,,
2,TRUE,私の隣室には日本人女性が住んでいますが、彼女も同じ日に発熱して病院に行きました。 彼女と私は一緒に治療を受けているため、お互いに接触している可能性が高いです。,,,,,,,,,,,
3,FALSE,最初は体のだるさだけでしたが、次第に関節痛や筋肉痛なども出るようになり悪化していきました。 そして5月中旬ごろになると発熱を伴うようになり入院することになったのです。 この時すでにALSである可能性が高いと診断されていました。,ALSは別な病気,,,,,,,,,,
4,FALSE,私は、その後も何度か検査を受けて陰性でしたが、今でも時々微熱や咳などの症状が出ます。 このような場合、会社でどのようにしたらよいでしょうか?,,,,,,,,,,,
5,TRUE,今年1月末に体調が急変し、入院して治療と投薬を受けていました。 入院中のことですが、新型コロナウイルスへの2回目の検査で陽性反応が出てしまいました。,,,,,,,,,,,
6,FALSE,私は自宅で療養を続けていましたが、 最近になって体力の衰えと共に熱も下がり、 今は軽快な状態です。 先日検査した結果、陰性となりましたのでご報告させていただきます。,,,,,,,,,,,
7,FALSE,このウイルスは、通常の風邪と同じ症状で始まりますが、その後急激に悪化して肺炎を引き起こす可能性があります。,ウイルスの説明をしているだけ,,,,,,,,,,
8,FALSE,私は新しいコロナウイルスの検査を受けましたが、陰性でした。 私たち夫婦は安全です。,,,,,,,,,,,
9,FALSE,今月4日に体調が急変し、病院へ運ばれました。 手術の結果、腎臓と肺から出血があり、 脳にも障害が見られています。 病状はますます悪化しており、今も入退院を繰り返している状況です。,,,,,,,,,,,
10,FALSE,私は、10月23日から発熱があり、翌日病院でインフルエンザと診断されて薬を処方してもらい服用したところ、熱も下がり体調も良くなりました。,,,,,,,,,,,
11,TRUE,私は自宅で療養を続けていましたが、 最近になって体力の衰えとともに症状が悪化してきています。 今回のコロナウイルス検査結果も陰性ではありませんでした。,,,,,,,,,,,
12,FALSE, 私は今までコロナの症状もなかったため、自覚せずに過ごしていました。 しかし、最近になって咳やくしゃみとかで体調不良になることが増えてきました。,,,,,,,,,,,
13,FALSE,私は、その人のことが好きで告白しようと思っていた矢先でした。 相手も自分を好きだという噂まで流れていて、両想いだったのですごくショックでした。 それから1週間後くらいに熱が出始め、咳や鼻水など風邪のような症状が続きました。 しかし、病院にいってもただの風邪だろうと言われ薬を出されるだけ...,,,,,,,,,,,
14,TRUE,私は自宅で療養を続けていましたが、 最近になって体力の衰えと共に症状が再び悪化し、 病院へ入院して治療を受けることになりました。 入院中に新型コロナウイルスに感染したことがわかりました。 私は現在、退院して家で静養している状態です。,,,,,,,,,,,
15,FALSE,このウイルスは、人から人への直接的な接触がなくても空気中を浮遊する飛沫核(直径5μm以下)で感染してしまうため、マスクだけでは予防できないと言われています。,,,,,,,,,,,
16,TRUE,私は熱が出て病院で検査を受けました。 そして、結果は新型コロナウイルスに感染したというものでした。 私は今までインフルエンザ以外には何もかも引いたことがない人だから、すごくショックです。,,,,,,,,,,,
17,TRUE,私の場合は、熱が出てから2日後くらいに発疹がでてきたのですが、そのときすでに38度後半でした。 病院へ行ったら「手足口病だね~」と言われ薬を処方してもらい帰宅したのですが、あまりにも身体がしんどくて動けなかったので解熱剤を飲みながらなんとか1日過ごしました。,,,,,,,,,,,
18,TRUE,私は熱が出て病院で検査を受けました。 病院の結果からもらったのは「新型コロナウイルス」という言葉です。 私たち家族には初めて聞いた単語だったので驚きました。,,,,,,,,,,,
19,TRUE,今月4日に体調が急変し、病院へ運ばれました。 PCR検査の結果、新型コロナウイルスに感染していたことがわかりました。 症状は軽く、現在は退院しています。,,,,,,,,,,,
20,TRUE,私は隔離されず家で過ごしていますが、 私の両親や兄弟たちも同じようにコロナウイルスに感染したかどうかを確認するために検査を受けていると聞きました。,,,,,,,,,,,
21,FALSE,私の家族は皆が病気になりました。 私も体調が悪くて学校を休みました。 そして、今日からまた学校に行きます。 今度は風邪を引かないようにします。,,,,,,,,,,,
22,FALSE,昨日の朝から熱が出てます。 熱は38度くらいです。 朝9時頃には医者さんを呼んでみたんですけど、 風邪ではないと言われました。 私も風邪じゃないって思います。 何なのでしょう?,,,,,,,,,,,
23,TRUE,私の家族は全員検査を受けた結果、 私と弟だけが陽性反応でした。 兄さんもお母さんも健康なので心配ありません。 あとは、今週末から2週間程度隔離されます。 残念ですが、体調管理して元気になってきます! ,,,,,,,,,,,
24,FALSE,最近になって症状が再発して 病院へ入院しました。 入院中には「コロナウイルス」検査も受けましたが陰性だったため 検査結果については心配ありません。,,,,,,,,,,,
25,FALSE,最近体調が急変して入院することになりました。 入院中の12月末には新型コロナウイルス検査(PCR)も受けましたが、 結果は陰性でした。,,,,,,,,,,,
26,FALSE,幸い、私はその後の検査で陰性でしたが、もし陽性だったらと思うとゾッとします。 私も夫も仕事をしているため、子どもたちだけで留守番する時間帯があります。 もし自分や家族がコロナウイルスに感染した場合、どうすればいいのか? 感染者数が増えていく今、改めて考えさせられています。,,,,,,,,,,,
27,TRUE,最近になって体の具合が急速に悪化していき、 病院へ入院することになりました。 入院中に新型コロナウイルスに感染したことがわかりました。,,,,,,,,,,,
28,TRUE,今日から1週間は外出を控えて自宅療養しています。 お体には大きな変化もありませんが、少し休みたいと思っておりますので、ご理解ください。 そして、この度の新型コロナウイルスへの感染により、私たちスタッフ全員で検査を受けさせていただきました。,,,,,,,,,,,
29,FALSE,私はインフルエンザの治療を受けましたが、今もまだ完全には治っていません。,,,,,,,,,,,
30,TRUE,その時の症状は、頭部が熱くなり、体重も減少していました。 病院で診察を受けたところ、肝炎だということになりました。,,,,,,,,,,,
31,FALSE,体調不良により入院することになりました。 入院中には新型コロナウイルスの検査も行われ、陰性の結果が出たことを確認しました。 現在は退院して家で静養している状態です。,,,,,,,,,,,
32,FALSE,先日、検査結果から新型コロナウイルス陽性反応が出たため、 病院へ行きました。 そこでPCR検査を受けた結果、陰性だったことがわかりました。,,,,,,,,,,,
33,FALSE,私は隔離されずに家で過ごしています。 私の周りにはコロナウイルスが広がっていません。 マスクを着用することもせず、外出も自由です。,,,,,,,,,,,
34,FALSE,私は家族と一緒に外出を控えています。 私の周りにもコロナウイルスがうつるかも知れないので。。 最近日本では新しいコロナウイルスによる変異株が増えているそうです。 そして、東京都内でも多くの人々が検査を受けているようです。,,,,,,,,,,,
35,TRUE,今日、入院先の病院から「肺炎」と診断されました。 先生方にはご迷惑をおかけしてしまい、 本当に申し訳ありません。,,,,,,,,,,,
36,FALSE,私は病院で治療を受けましたが、今も完治していません。 私はこのような事態になるまで何らかの対策を取っていなかったことを深く反省しています。,,,,,,,,,,,
37,TRUE,今回のコロナウイルスによる肺炎という病気は 私には初めてですので、どんな治療法があるのかも分かりません。 良くなったらまたブログやInstagramなどでもお知らせしますね!,,,,,,,,,,,
38,TRUE,病気がちょっとよくなったと思って外出したらまた発熱してしまいました。 私は病院で検査を受けた結果、軽度の肺炎だと言われました。 そして今もずっと家で休んでいます。,,,,,,,,,,,
39,TRUE,今回の新型コロナウイルスにより体調を崩したため入院することになりました。 入院中には医師や看護師から熱心に治療を受けており、退院直前まで安静に過ごすように言われました。,,,,,,,,,,,
40,TRUE,私の場合は、1回目の検査で陰性だったのですが、2回目を受けて陽性反応が出たということでした。 そのため、最初から「HIV+」として治療することになりました。,,,,,,,,,,,
41,TRUE,昨日(12/30)から体調が急変し、今朝病院へ行って診察したところ、新型コロナウイルスに感染していたことが判明しました。,,,,,,,,,,,
42,FALSE,私は熱が出て病院で検査を受けました。 病院の先生から「インフルエンザ」と聞きました。 私は学校へ行くことができなくなりました。 今日も家で過ごします。,,,,,,,,,,,
