sentence_ID	text_a	text_b	流暢性	妥当性	labels	流暢性	妥当性	DeepL	流暢性	妥当性
1	Show your own business.	あなた自身のビジネスを見せてください。	4	5	4.5					
2	He lived a hard life.	彼は苦労していた。	4	5	4.5					
3	No . I'm sorry, I've got to go back early.	いいえ 。申し訳ありませんが、早めに戻らなければなりません。	5	5	5					
4	She wrote to me to come at once.	彼女はすぐに来るように私に手紙を書きました。	4	5	4.5					
5	I can't swim at all.	まったく泳ぐことはできません。	4	4	4					
6	Is there any hope of his success?	彼の成功への希望はありますか？	4	5	4.5					
7	I'll pick him up at 5.	5時に彼を迎えに行きます。	5	5	5					
8	It's so lovely a day.	一日はとても素敵です。	3	3	3					
9	You've just been down in the dumps.	あなたはちょうどダンプでダウンしています。	2	4	3					
10	Choose one from among these.	これらの中から1つを選択してください。	5	5	5					
11	He loves no one but her.	彼は彼女以外は誰も愛していません。	5	5	5					
12	I study English every day.	私は毎日英語を勉強しています。	5	5	5					
13	I like spring the best of the seasons.	私は春の最高の季節が好きです。	2	2	2					
14	You can't have lost your coat in the house.	家でコートを失うことはできません。	2	2	2					
15	There are some oranges on the tree.	木にいくつかのオレンジがあります。	4	5	4.5					
16	She died of shock.	彼女はショックで亡くなりました。	4	5	4.5					
17	Why did she come home early?	なぜ彼女は早く帰宅したのですか？	5	5	5					
18	I like French food very much.	私はフランス料理がとても好きです。	5	5	5					
19	We went to Boston, where we stayed a week.	ボストンに行き、そこで1週間滞在しました。	5	4	4.5					
20	How's the weather there?	天気はどうですか？	5	4	4.5					
21	The new plan will call for a lot of money.	新しい計画では多くのお金が必要になります。	4	5	4.5					
22	He was lost to history.	彼は歴史に迷った。	4	4	4					
23	She was the last woman that I expected to see at the party.	彼女は私がパーティーで見ることを期待していた最後の女性でした。	3	4	3.5					
24	I couldn't get him on the phone.	私は彼を電話で連れて行くことができませんでした。	4	3	3.5					
25	You must make up for lost time.	失われた時間を補う必要があります。	4	5	4.5					
26	The matter has not been settled yet.	問題はまだ解決されていません。	5	5	5					
27	What time does the shuttle bus leave for the airport?	空港のシャトルバスは何時ですか？	4	4	4					
28	I have some good news for you.	私はあなたにいくつかの良いニュースがあります。	3	5	4					
29	She wants to keep a cat.	彼女は猫を飼いたいと思っています。	5	5	5					
30	The Hill is bare of trees.	丘は木々がむき出しです。	5	5	5					
31	It was Sunday yesterday.	昨日は日曜日でした。	5	5	5					
32	I have many books.	私はたくさんの本を持っています。	5	5	5					
33	And I will raise it again in three days.	そして、私は3日後にそれを再び育てます。	4	4	4					
